iter	Passed	Remaining
0	60	60217
1	60	30246
2	61	20276
3	61	15312
4	61	12303
5	62	10307
6	62	8871
7	62	7792
8	63	6950
9	63	6278
10	63	5734
11	64	5276
12	64	4891
13	64	4560
14	65	4273
15	65	4029
16	65	3812
17	66	3622
18	66	3450
19	67	3291
20	67	3145
21	67	3017
22	68	2903
23	68	2795
24	69	2694
25	69	2603
26	69	2515
27	70	2435
28	70	2360
29	70	2288
30	71	2221
31	71	2158
32	71	2099
33	71	2045
34	72	1998
35	72	1952
36	73	1905
37	73	1861
38	73	1818
39	74	1778
40	74	1739
41	74	1703
42	74	1668
43	75	1636
44	75	1606
45	76	1577
46	76	1549
47	76	1524
48	77	1499
49	77	1474
50	77	1450
51	78	1426
52	78	1406
53	79	1385
54	79	1366
55	79	1347
56	80	1329
57	80	1311
58	81	1293
59	81	1278
60	81	1260
61	82	1245
62	82	1228
63	83	1213
64	83	1199
65	83	1185
66	84	1172
67	84	1156
68	84	1144
69	85	1132
70	85	1120
71	85	1107
72	86	1096
73	86	1084
74	86	1072
75	87	1060
76	87	1049
77	87	1039
78	88	1029
79	88	1020
80	89	1010
81	89	1000
82	89	991
83	90	982
84	90	972
85	90	962
86	90	952
87	91	943
88	91	934
89	91	926
90	91	918
91	92	910
92	92	903
93	93	896
94	93	889
95	93	883
96	94	875
97	94	869
98	94	863
99	95	857
100	95	851
101	95	844
102	96	837
103	96	831
104	96	824
105	97	818
106	97	813
107	97	807
108	98	801
109	98	797
110	98	791
111	99	785
112	99	780
113	99	775
114	100	770
115	100	764
116	100	759
117	101	755
118	101	749
119	101	744
120	101	739
121	102	735
122	102	729
123	102	724
124	102	720
125	103	716
126	103	712
127	103	707
128	104	704
129	104	700
130	105	696
131	105	692
132	105	688
133	105	684
134	106	680
135	106	677
136	107	674
137	107	670
138	107	666
139	107	663
140	108	659
141	108	655
142	108	652
143	109	649
144	109	646
145	110	643
146	110	641
147	110	637
148	111	634
149	111	631
150	111	628
151	111	624
152	112	621
153	112	619
154	113	616
155	113	613
156	113	610
157	114	608
158	114	606
159	115	603
160	115	600
161	115	598
162	116	596
163	116	594
164	116	592
165	117	589
166	117	586
167	118	584
168	118	581
169	118	579
170	119	577
171	119	574
172	119	571
173	119	569
174	120	567
175	120	564
176	121	562
177	121	560
178	121	557
179	121	555
180	122	552
181	122	550
182	122	548
183	123	546
184	123	544
185	123	542
186	124	540
187	124	538
188	124	536
189	125	534
190	125	532
191	125	530
192	126	528
193	126	525
194	127	524
195	127	522
196	127	520
197	128	519
198	128	517
199	128	515
200	129	514
201	129	512
202	130	511
203	130	509
204	130	507
205	131	505
206	131	503
207	131	501
208	132	500
209	132	498
210	132	496
211	133	495
212	133	493
213	134	492
214	134	490
215	134	488
216	135	487
217	135	486
218	135	484
219	136	482
220	136	481
221	136	480
222	137	478
223	137	476
224	138	475
225	138	474
226	138	472
227	139	470
228	139	469
229	139	468
230	140	466
231	140	465
232	140	464
233	141	462
234	141	461
235	141	459
236	142	458
237	142	456
238	142	454
239	143	453
240	143	451
241	143	450
242	144	448
243	144	447
244	144	446
245	145	444
246	145	443
247	145	442
248	146	440
249	146	439
250	146	438
251	147	436
252	147	435
253	147	433
254	148	432
255	148	431
256	148	430
257	149	428
258	149	427
259	149	425
260	149	424
261	150	423
262	150	422
263	151	421
264	151	419
265	151	418
266	152	417
267	152	416
268	152	415
269	153	414
270	153	412
271	153	411
272	154	410
273	154	409
274	155	408
275	155	407
276	155	406
277	156	405
278	156	404
279	156	403
280	157	402
281	157	401
282	157	400
283	158	399
284	158	398
285	159	397
286	159	396
287	159	395
288	160	394
289	160	393
290	161	392
291	161	391
292	161	390
293	162	389
294	162	388
295	162	386
296	162	385
297	163	384
298	163	383
299	163	382
300	163	380
301	164	379
302	164	378
303	164	377
304	165	376
305	165	374
306	165	373
307	165	372
308	166	371
309	166	370
310	166	369
311	166	368
312	167	366
313	167	365
314	167	364
315	167	363
316	168	362
317	168	361
318	168	360
319	169	359
320	169	357
321	169	356
322	169	355
323	170	354
324	170	353
325	170	352
326	170	351
327	171	350
328	171	349
329	171	348
330	171	347
331	172	346
332	172	345
333	172	344
334	172	343
335	173	342
336	173	341
337	173	340
338	174	339
339	174	338
340	174	337
341	174	336
342	175	335
343	175	334
344	175	333
345	175	332
346	176	331
347	176	330
348	176	329
349	176	328
350	177	327
351	177	326
352	177	325
353	177	324
354	178	323
355	178	322
356	178	321
357	178	320
358	179	319
359	179	318
360	179	318
361	179	317
362	180	316
363	180	315
364	180	314
365	180	313
366	181	312
367	181	311
368	181	310
369	182	309
370	182	309
371	182	308
372	182	307
373	183	306
374	183	305
375	183	304
376	183	303
377	184	302
378	184	301
379	184	301
380	184	300
381	185	299
382	185	298
383	185	297
384	185	296
385	186	296
386	186	295
387	186	294
388	186	293
389	187	292
390	187	291
391	187	291
392	187	290
393	188	289
394	188	288
395	188	287
396	188	286
397	189	286
398	189	285
399	189	284
400	189	283
401	190	282
402	190	282
403	190	281
404	190	280
405	191	279
406	191	279
407	191	278
408	192	277
409	192	276
410	192	275
411	192	275
412	193	274
413	193	273
414	193	272
415	193	272
416	194	271
417	194	270
418	194	269
419	194	269
420	195	268
421	195	267
422	195	266
423	195	266
424	196	265
425	196	264
426	196	263
427	196	263
428	197	262
429	197	261
430	197	261
431	198	260
432	198	259
433	198	258
434	198	258
435	199	257
436	199	256
437	199	256
438	199	255
439	200	254
440	200	253
441	200	253
442	200	252
443	201	251
444	201	251
445	201	250
446	201	249
447	202	249
448	202	248
449	202	247
450	203	247
451	203	246
452	203	245
453	203	245
