iter	Passed	Remaining
0	57	57229
1	57	28800
2	58	19321
3	58	14546
4	58	11702
5	59	9795
6	59	8437
7	59	7412
8	60	6614
9	60	5977
10	60	5454
11	60	5018
12	61	4648
13	61	4333
14	61	4058
15	62	3817
16	62	3607
17	62	3418
18	62	3250
19	63	3098
20	63	2961
21	63	2836
22	64	2723
23	64	2620
24	64	2524
25	65	2435
26	65	2352
27	65	2275
28	65	2206
29	66	2139
30	66	2077
31	66	2020
32	67	1965
33	67	1915
34	67	1870
35	68	1824
36	68	1784
37	69	1747
38	69	1712
39	69	1679
40	70	1646
41	70	1614
42	71	1584
43	71	1554
44	71	1525
45	72	1496
46	72	1469
47	72	1443
48	73	1419
49	73	1397
50	73	1373
51	74	1351
52	74	1329
53	74	1309
54	75	1290
55	75	1273
56	76	1257
57	76	1240
58	76	1223
59	76	1205
60	77	1189
61	77	1176
62	78	1162
63	78	1149
64	78	1135
65	79	1123
66	79	1110
67	80	1098
68	80	1085
69	80	1072
70	81	1060
71	81	1047
72	81	1036
73	81	1024
74	82	1013
75	82	1002
76	82	991
77	83	981
78	83	971
79	83	961
80	83	951
81	84	942
82	84	932
83	84	924
84	85	915
85	85	908
86	85	901
87	86	892
88	86	886
89	87	880
90	87	872
91	87	865
92	88	858
93	88	851
94	88	844
95	89	838
96	89	830
97	89	824
98	89	817
99	90	811
100	90	804
101	90	798
102	90	792
103	91	786
104	91	780
105	91	774
106	92	770
107	92	766
108	93	761
109	93	757
110	94	753
111	94	748
112	94	744
113	95	740
114	95	737
115	96	732
116	96	727
117	96	722
118	97	718
119	97	714
120	97	710
121	98	706
122	98	703
123	99	700
124	99	696
125	99	692
126	100	688
127	100	684
128	100	680
129	101	676
130	101	672
131	101	668
132	101	664
133	102	660
134	102	656
135	102	653
136	103	649
137	103	646
138	103	643
139	104	640
140	104	637
141	104	633
142	105	630
143	105	627
144	105	624
145	106	621
146	106	618
147	106	615
148	107	612
149	107	608
150	107	605
151	108	602
152	108	599
153	108	596
154	109	594
155	109	592
156	109	589
157	110	586
158	110	583
159	110	581
160	110	577
161	111	575
162	111	573
163	112	571
164	112	568
165	112	566
166	113	564
167	113	561
168	113	558
169	113	556
170	114	553
171	114	551
172	114	549
173	115	546
174	115	544
175	115	542
176	116	540
177	116	538
178	116	536
179	117	534
180	117	532
181	118	530
182	118	528
183	118	526
184	119	525
185	119	523
186	119	521
187	120	519
188	120	517
189	120	515
190	121	513
191	121	512
192	122	510
193	122	509
194	123	508
195	123	507
196	124	505
197	124	504
